Date,Open,High,Low,Close,Adj Close,Volume
2019-02-07,67.589996,67.589996,67.589996,67.589996,63.055553,0
2019-02-08,67.660004,67.660004,67.660004,67.660004,63.120880,0
2019-02-11,67.769997,67.769997,67.769997,67.769997,63.223480,0
2019-02-12,68.639999,68.639999,68.639999,68.639999,64.035133,0
2019-02-13,68.849998,68.849998,68.849998,68.849998,64.231049,0
2019-02-14,68.720001,68.720001,68.720001,68.720001,64.109764,0
2019-02-15,69.489998,69.489998,69.489998,69.489998,64.828102,0
2019-02-19,69.610001,69.610001,69.610001,69.610001,64.940063,0
2019-02-20,69.739998,69.739998,69.739998,69.739998,65.061333,0
2019-02-21,69.500000,69.500000,69.500000,69.500000,64.837448,0
2019-02-22,69.980003,69.980003,69.980003,69.980003,65.285240,0
2019-02-25,70.070000,70.070000,70.070000,70.070000,65.369179,0
2019-02-26,69.959999,69.959999,69.959999,69.959999,65.266579,0
2019-02-27,69.989998,69.989998,69.989998,69.989998,65.294563,0
2019-02-28,69.800003,69.800003,69.800003,69.800003,65.117317,0
2019-03-01,70.279999,70.279999,70.279999,70.279999,65.565109,0
2019-03-04,69.949997,69.949997,69.949997,69.949997,65.257248,0
2019-03-05,69.849998,69.849998,69.849998,69.849998,65.163956,0
2019-03-06,69.290001,69.290001,69.290001,69.290001,64.641510,0
2019-03-07,68.750000,68.750000,68.750000,68.750000,64.137749,0
2019-03-08,68.620003,68.620003,68.620003,68.620003,64.016472,0
2019-03-11,69.639999,69.639999,69.639999,69.639999,64.968033,0
2019-03-12,69.839996,69.839996,69.839996,69.839996,65.154617,0
2019-03-13,70.300003,70.300003,70.300003,70.300003,65.583778,0
2019-03-14,70.239998,70.239998,70.239998,70.239998,65.527794,0
2019-03-15,70.559998,70.559998,70.559998,70.559998,65.826324,0
2019-03-18,70.839996,70.839996,70.839996,70.839996,66.087547,0
2019-03-19,70.790001,70.790001,70.790001,70.790001,66.040871,0
2019-03-20,70.540001,70.540001,70.540001,70.540001,65.807678,0
2019-03-21,71.339996,71.339996,71.339996,71.339996,66.553978,0
2019-03-22,69.489998,69.489998,69.489998,69.489998,65.169769,0
2019-03-25,69.459999,69.459999,69.459999,69.459999,65.141640,0
2019-03-26,69.989998,69.989998,69.989998,69.989998,65.638680,0
2019-03-27,69.660004,69.660004,69.660004,69.660004,65.329201,0
2019-03-28,69.980003,69.980003,69.980003,69.980003,65.629303,0
2019-03-29,70.430000,70.430000,70.430000,70.430000,66.051315,0
2019-04-01,71.239998,71.239998,71.239998,71.239998,66.810959,0
2019-04-02,71.230003,71.230003,71.230003,71.230003,66.801582,0
2019-04-03,71.419998,71.419998,71.419998,71.419998,66.979774,0
2019-04-04,71.559998,71.559998,71.559998,71.559998,67.111069,0
2019-04-05,71.940002,71.940002,71.940002,71.940002,67.467445,0
2019-04-08,71.989998,71.989998,71.989998,71.989998,67.514351,0
2019-04-09,71.529999,71.529999,71.529999,71.529999,67.082932,0
2019-04-10,71.870003,71.870003,71.870003,71.870003,67.401810,0
2019-04-11,71.879997,71.879997,71.879997,71.879997,67.411186,0
2019-04-12,72.349998,72.349998,72.349998,72.349998,67.851952,0
2019-04-15,72.279999,72.279999,72.279999,72.279999,67.786308,0
2019-04-16,72.309998,72.309998,72.309998,72.309998,67.814445,0
2019-04-17,72.059998,72.059998,72.059998,72.059998,67.579979,0
2019-04-18,72.160004,72.160004,72.160004,72.160004,67.673775,0
2019-04-22,72.209999,72.209999,72.209999,72.209999,67.720650,0
2019-04-23,72.910004,72.910004,72.910004,72.910004,68.377144,0
2019-04-24,72.790001,72.790001,72.790001,72.790001,68.264610,0
2019-04-25,72.699997,72.699997,72.699997,72.699997,68.180206,0
2019-04-26,73.089996,73.089996,73.089996,73.089996,68.545952,0
2019-04-29,73.190002,73.190002,73.190002,73.190002,68.639740,0
2019-04-30,73.230003,73.230003,73.230003,73.230003,68.677231,0
2019-05-01,72.660004,72.660004,72.660004,72.660004,68.142693,0
2019-05-02,72.550003,72.550003,72.550003,72.550003,68.039528,0
2019-05-03,73.330002,73.330002,73.330002,73.330002,68.771034,0
2019-05-06,73.050003,73.050003,73.050003,73.050003,68.508423,0
2019-05-07,71.820000,71.820000,71.820000,71.820000,67.354904,0
2019-05-08,71.690002,71.690002,71.690002,71.690002,67.233009,0
2019-05-09,71.510002,71.510002,71.510002,71.510002,67.064194,0
2019-05-10,71.779999,71.779999,71.779999,71.779999,67.317383,0
